epoch,train_loss,val_f1,test_f1,robustness_f1,tokenizer,seed
1,1.6274135176624571,0.06736842105263158,0.06666666666666667,0.12506738544474394,baseline,13
2,1.6030731286321367,0.233778552071235,0.1927371273712737,0.11799628942486087,baseline,13
3,1.522050787295614,0.5171945701357467,0.5929476955792745,0.486551724137931,baseline,13
4,1.180237343268735,0.731734307626477,0.7225490196078432,0.7029840848806366,baseline,13
5,0.8567640142781394,0.7775099411036501,0.7877777777777778,0.6369523809523809,baseline,13
6,0.6538214609026909,0.8215632901068428,0.7570387129210658,0.6495972551700105,baseline,13
7,0.5342435607952731,0.8674335833657867,0.8134615384615385,0.7172096908939014,baseline,13
8,0.43246547132730484,0.8983791903858318,0.7915592903828198,0.7082160976278623,baseline,13
9,0.3366420923599175,0.9373875202139808,0.8893772893772894,0.7189997158283603,baseline,13
10,0.3429684650951198,0.9360481942587306,0.8865014723838254,0.7089010989010989,baseline,13
11,0.2606178396714053,0.948820078226858,0.8417553688141923,0.7063979158096806,baseline,13
12,0.22505930006237967,0.9557231299166784,0.8660364145658264,0.7474300299243091,baseline,13
13,0.18962749825524433,0.9681385986508937,0.8343212669683258,0.7058044087200098,baseline,13
14,0.18097015390438692,0.9620039682539684,0.8868778280542985,0.7870194766869959,baseline,13
15,0.1520604750507378,0.9683531746031747,0.8413050726363421,0.690984323553983,baseline,13
16,0.14906682678598113,0.9684446019929892,0.8207498383968972,0.7054409780106375,baseline,13
17,0.13546229672751256,0.9682271122877945,0.864492207139266,0.7254409780106374,baseline,13
18,0.16289275962792868,0.9683499743983616,0.864492207139266,0.755204678362573,baseline,13
19,0.10715664644625836,0.9555381759817244,0.864492207139266,0.7627615521733169,baseline,13
20,0.1039836986622374,0.9811385746869619,0.864492207139266,0.7804066530678457,baseline,13
21,0.06942959300691395,0.9682271122877945,0.864492207139266,0.7238779796055338,baseline,13
22,0.06412249646382406,0.9873992673992674,0.8693212669683257,0.7449306111844812,baseline,13
23,0.07013105380298969,0.9811385746869619,0.891543489190548,0.7424585218702865,baseline,13
24,0.07112591804096675,0.9748930146914019,0.891543489190548,0.7419627171410722,baseline,13
1,1.6194903339658464,0.12167832167832167,0.12753623188405797,0.1814814814814815,baseline,42
2,1.59860326562609,0.31822780394208966,0.3824338624338624,0.3046694567154925,baseline,42
3,1.4801929954971587,0.6653366315835533,0.7377942720047983,0.581290148448043,baseline,42
4,1.0732325198394912,0.6727344179342811,0.7475936901076219,0.6540506116976704,baseline,42
5,0.7934889080268996,0.7346772973403407,0.6428672918442739,0.7337435897435898,baseline,42
6,0.6273390895553997,0.8870827113499529,0.8114687926452632,0.6555536568694464,baseline,42
7,0.4782371478421347,0.8922322348950885,0.8532745098039214,0.7068687102371312,baseline,42
8,0.38501989894679617,0.911448422734693,0.8016788766788767,0.7127134307340257,baseline,42
9,0.336293665293072,0.9619047619047618,0.8891708910284761,0.6792053663570691,baseline,42
10,0.28690411276849254,0.9434218200765233,0.9137657114127702,0.8217553688141923,baseline,42
11,0.22385057021996804,0.9553237290942208,0.891543489190548,0.7797046965239185,baseline,42
12,0.2030781929913376,0.9747023809523808,0.866948668806254,0.7375917512140423,baseline,42
13,0.19100848701782525,0.9555491551459292,0.8640559732664995,0.734821655588246,baseline,42
14,0.1515821179740929,0.9305799576767319,0.8861316753422017,0.7046153846153846,baseline,42
