epoch,train_loss,val_f1,test_f1,robustness_f1,tokenizer,seed
15,0.1258830964299185,0.9494707208297901,0.891543489190548,0.7633593459680416,baseline,42
16,0.13349577358790807,0.9620953956437829,0.9137657114127702,0.7581602762562516,baseline,42
17,0.14083917438983917,0.948991935483871,0.8629720606191194,0.7548017771701983,baseline,42
18,0.08669695921707898,0.9494052279585677,0.8891708910284761,0.7573519575054102,baseline,42
19,0.08197683805233932,0.9555938416422288,0.8867144293614881,0.7627615521733169,baseline,42
20,0.09436719255505263,0.9620007680491552,0.8891708910284761,0.770172311348782,baseline,42
21,0.08060142303916759,0.9683531746031747,0.8861316753422017,0.740646927667388,baseline,42
22,0.0566315768498628,0.9619929890897632,0.8861316753422017,0.7633593459680416,baseline,42
23,0.0687759902419722,0.9555491551459292,0.9143464052287582,0.7628214496500942,baseline,42
24,0.05801363434251731,0.9682475678443421,0.866948668806254,0.7769841269841269,baseline,42
1,1.6155316552945547,0.08983957219251337,0.13714285714285715,0.12746331236897274,baseline,77
2,1.6097954681941442,0.28809348782394606,0.21107533440190643,0.19748457350272233,baseline,77
3,1.5271565786429815,0.66551825431261,0.5717986191131972,0.5865311159428808,baseline,77
4,1.1685859082000596,0.7065658719390062,0.7028626110731373,0.750842360254125,baseline,77
5,0.8284165428153106,0.8200620195762438,0.7361840120663649,0.7467068878833585,baseline,77
6,0.7111535524683339,0.8671399287949078,0.8354557207498384,0.7550034506556245,baseline,77
7,0.4762882635529552,0.8718885161044303,0.8338702147525676,0.664484741264927,baseline,77
8,0.40915803531450884,0.9365751165956084,0.8874416433239963,0.6894949494949495,baseline,77
9,0.3445855578673737,0.9424755620723362,0.8575565610859728,0.7130647130647131,baseline,77
10,0.2931748938613704,0.9558333333333333,0.8315656565656564,0.7524743230625583,baseline,77
11,0.26286226118515643,0.9553327478532397,0.8390559732664995,0.7014053035401805,baseline,77
12,0.20369606934088683,0.96189012490242,0.8679487179487179,0.673389355742297,baseline,77
13,0.18387010696876263,0.9683531746031747,0.8619281045751634,0.726984126984127,baseline,77
14,0.16830868925899267,0.9621610914980134,0.8693212669683257,0.7804686541528646,baseline,77
15,0.16140277206432074,0.981046860845248,0.8449328449328449,0.7450877192982456,baseline,77
16,0.12354515905358962,0.9811507936507937,0.8397058823529411,0.7414088250930355,baseline,77
17,0.10750480258970388,0.9746991807475679,0.8391503267973857,0.7298307148946536,baseline,77
18,0.101992865527531,0.9617612942612943,0.8642940685045948,0.7505339105339105,baseline,77
19,0.08402277081872203,0.9746991807475679,0.8360356963298139,0.7265180854950677,baseline,77
20,0.07797095988228518,0.9811507936507937,0.864492207139266,0.7790994635253621,baseline,77
21,0.06077328174848974,0.9745984481468353,0.8693212669683257,0.7261047002533071,baseline,77
22,0.07194520194856782,0.981046860845248,0.866948668806254,0.7458897243107769,baseline,77
23,0.0601145449743074,0.9744878050001,0.8886507936507936,0.7297805895813703,baseline,77
24,0.06061816425478485,0.9811507936507937,0.9360859728506787,0.72593837535014,baseline,77
1,1.6211870057242257,0.06736842105263158,0.06666666666666667,0.06792452830188679,hybrid,13
2,1.5964742260319846,0.1579780361757106,0.08624113475177304,0.08627450980392157,hybrid,13
3,1.562400900891849,0.4941144202013767,0.414935064935065,0.33568775310710797,hybrid,13
4,1.3867010325193405,0.6266825504475375,0.6792051282051282,0.5590167727009832,hybrid,13
5,1.048194017793451,0.7200447781453088,0.7527652086475616,0.6113886113886113,hybrid,13
6,0.7920914132680211,0.8485048731870766,0.7618543417366948,0.5718767507002801,hybrid,13
7,0.6029587906918356,0.8927334318811623,0.7595238095238095,0.616452896948253,hybrid,13
8,0.4613695357527052,0.9044494615771177,0.7497936016511868,0.7203868645973909,hybrid,13
9,0.4098921718874148,0.9489058258126055,0.78815987933635,0.6927935222672065,hybrid,13
10,0.3542838827041643,0.9369702071732977,0.7951131221719457,0.6913986928104576,hybrid,13
11,0.28822971002331804,0.9432927528257331,0.7418823529411764,0.7631070429697432,hybrid,13
12,0.24390331363039358,0.9557066567312468,0.7933529411764706,0.755977108546768,hybrid,13
13,0.2020414540145014,0.9494566567312468,0.7407058823529411,0.7345811051693405,hybrid,13
14,0.18604509944894485,0.9557347524970476,0.7407058823529411,0.8017993367515512,hybrid,13
15,0.1648743239763592,0.9681385986508937,0.7523809523809523,0.7816728008833271,hybrid,13
16,0.1718829097226262,0.9621665062271884,0.8624836601307189,0.7509622541201489,hybrid,13
17,0.1412651030280228,0.9430830101797845,0.8862745098039216,0.7623978919631094,hybrid,13
18,0.12927276286895253,0.9428980562448306,0.8341503267973855,0.7665875919745889,hybrid,13
19,0.1218802714886676,0.9621665062271884,0.8129308565531476,0.7679835953520164,hybrid,13
20,0.11324112120616649,0.9621665062271884,0.8374509803921569,0.7649867091972355,hybrid,13
21,0.07287383448731687,0.9494998555531954,0.8372875816993464,0.785390749601276,hybrid,13
22,0.08765932328865997,0.9621665062271884,0.8372875816993464,0.7464867296446244,hybrid,13
23,0.06251669498825711,0.9744893312516263,0.8341503267973855,0.7831884057971015,hybrid,13
24,0.08141395562727537,0.9684078912932004,0.8190525030525031,0.7377777777777779,hybrid,13
1,1.6238626837730408,0.06772486772486772,0.08571428571428572,0.047058823529411764,hybrid,42
2,1.6029093095234461,0.23991452991452994,0.2462169312169312,0.23729227761485827,hybrid,42
3,1.553799529160772,0.5437185754294444,0.5420297349709114,0.5175953079178885,hybrid,42
4,1.263130098581314,0.6685120921447354,0.6202284927348866,0.6630252100840336,hybrid,42
5,0.902756610086986,0.7545095742970561,0.6153178847296494,0.6351315351315352,hybrid,42
6,0.7027013999010835,0.8614321789321788,0.7110877192982457,0.6663581155686419,hybrid,42
7,0.514862922685487,0.8915763305951792,0.7535650022492127,0.759919028340081,hybrid,42
8,0.4342348195080246,0.9241628301241175,0.7433529411764705,0.7460960119433669,hybrid,42
9,0.3309393972158432,0.9115768593325493,0.7921764705882353,0.723447507658034,hybrid,42
10,0.2809809495561889,0.9433277061383883,0.800705882352941,0.7271512113617377,hybrid,42
11,0.26990721221747144,0.9308763651065387,0.7129047619047618,0.6035833447598153,hybrid,42
12,0.2611328826418945,0.9684491807475679,0.780897435897436,0.6847523219814241,hybrid,42
13,0.20045356951387866,0.9492863397986347,0.8186507936507936,0.7457157386219171,hybrid,42
14,0.20651510447662855,0.9497443657289588,0.847087912087912,0.7336532748297454,hybrid,42
15,0.16121363037798023,0.9557347524970476,0.847087912087912,0.7330675172780435,hybrid,42
16,0.14852743692296957,0.9616837855428548,0.8197863247863248,0.7656060606060606,hybrid,42
17,0.11621643503063492,0.9682303124926076,0.7974294711136817,0.7818831168831168,hybrid,42
18,0.10493424195530159,0.9560303495787366,0.8440803932909196,0.7940350877192982,hybrid,42
19,0.0918783202983572,0.9685483870967742,0.8230277617119721,0.8058517952635599,hybrid,42
20,0.13466195953411184,0.9555491551459292,0.798992673992674,0.7992717086834735,hybrid,42
21,0.07930715473152564,0.96189012490242,0.8197863247863248,0.7587890179995443,hybrid,42
22,0.08186928482194032,0.9619847524970476,0.8415555555555556,0.785798240660941,hybrid,42
23,0.07876152230060793,0.9622875556343299,0.8440803932909196,0.793619598869296,hybrid,42
24,0.05348633334298419,0.9811385746869619,0.8218864468864469,0.788133971291866,hybrid,42
1,1.618544123002461,0.06736842105263158,0.08421052631578947,0.047058823529411764,hybrid,77
2,1.6071577029568809,0.2272296418188559,0.182007722007722,0.19610188261351053,hybrid,77
3,1.5825619846582413,0.37099241679780387,0.2738862876254181,0.2993487993487993,hybrid,77
4,1.4651041754654475,0.6536360428385395,0.5796907993966818,0.5526048026048025,hybrid,77
5,1.0968733025448663,0.7204690772022895,0.6002690058479532,0.5893077297808755,hybrid,77
6,0.8317081901643958,0.8322347889331623,0.6748648090815272,0.6378161054631641,hybrid,77
7,0.6120885796844959,0.8755383337806795,0.731975867269985,0.6084413933384185,hybrid,77
8,0.452390351199678,0.8479256542463091,0.6981390374331552,0.6844733044733045,hybrid,77
9,0.4326632076076099,0.9042940685045948,0.7395098039215686,0.6337879994102905,hybrid,77
10,0.32120769823502215,0.9248778440304681,0.794050832208727,0.7502392344497608,hybrid,77
11,0.27657390146383215,0.9622967083008067,0.8402380952380952,0.8031016042780749,hybrid,77
12,0.2776377363396542,0.9560105083088954,0.8415555555555556,0.7209035701140964,hybrid,77
13,0.2177634436770209,0.9439601847989405,0.7373809523809524,0.7191159951159951,hybrid,77
14,0.2075146183238498,0.962466104316977,0.794050832208727,0.7471026049973418,hybrid,77
15,0.1881288162299565,0.9936507936507937,0.797962962962963,0.719749373433584,hybrid,77
16,0.173125509172678,0.9812454212454214,0.83859477124183,0.7585797827903091,hybrid,77
17,0.13772109654798573,0.968512507528901,0.8746630036630038,0.7558730158730159,hybrid,77
18,0.1681188187295837,0.9684491807475679,0.8150653594771242,0.7123809523809523,hybrid,77
19,0.11548920137075973,0.9812454212454214,0.83859477124183,0.7660234502339766,hybrid,77
20,0.12550504987926356,0.9682905176274396,0.8660877192982456,0.7616040100250626,hybrid,77
21,0.10129657277970441,0.9684491807475679,0.8404117647058824,0.7327983420088684,hybrid,77
22,0.1485423101694323,0.9746991807475679,0.78859477124183,0.7508544087491456,hybrid,77
23,0.06782258258317597,0.9621914017881761,0.78859477124183,0.7387507229612492,hybrid,77
24,0.07373227939076189,0.9559383492851236,0.7907017543859649,0.77365249129955,hybrid,77
